iter	Passed	Remaining
0	932	931536
1	1801	898988
2	2696	896190
3	3602	897005
4	4513	898100
5	5417	897484
6	6202	879804
7	7108	881476
8	7945	874847
9	8843	875514
10	9690	871256
11	10599	872667
12	11508	873742
13	12321	867762
14	13289	872675
15	14322	880859
16	15260	882398
17	16192	883375
18	16982	876835
19	17704	867520
20	18538	864236
21	19401	862497
22	20268	860965
23	21187	861613
24	22041	859605
25	22899	857856
26	23822	858478
27	24613	854430
28	25405	850631
29	26358	852273
30	27186	849796
31	28091	849753
32	28914	847296
33	29751	845299
34	30741	847594
35	31700	848866
36	32529	846657
37	33456	846975
38	34374	847011
39	35328	847880
40	36175	846149
41	37093	846073
42	38021	846192
43	38941	846090
44	39670	841902
45	40350	836831
46	41191	835225
47	42114	835271
48	42859	831831
49	43770	831642
50	44672	831254
51	45468	828920
52	46361	828392
53	47120	825488
54	48017	825032
55	48921	824669
56	49893	825438
57	50833	825604
58	51603	823036
59	52504	822565
60	53406	822107
61	54231	820475
62	55148	820230
63	56025	819375
64	56936	819007
65	57769	817521
66	58604	816085
67	59485	815297
68	60280	813354
69	61104	811818
70	61994	811166
71	62931	811113
72	63761	809686
73	64559	807870
74	65313	805537
75	66210	804975
76	66970	802772
77	67782	801220
78	68456	798085
79	69053	794120
80	69932	793430
81	70651	790950
82	71338	788161
83	71985	784982
84	72692	782517
85	73588	782086
86	74203	778707
87	74905	776297
88	75851	776413
89	76582	774329
90	77460	773749
91	78155	771360
92	78947	769947
93	79833	769455
94	80726	769024
95	81529	767732
96	82396	767052
97	83112	764970
98	83842	763047
99	84607	761466
100	85337	759587
101	86086	757896
102	86881	756626
103	87562	754382
104	88118	751101
